Artist;Degree_Centrality;Betweenness_Centrality;Closeness_Centrality;Eigenvector_Centrality;Community_ID
Kodak Black;0.007051282051282051;0.009119520686086149;0.17775591525591525;0.002295344140556263;15
Jos Blue;0.007051282051282051;0.00515971114666887;0.1603517950702548;0.0020875079684817477;164
Miley Cyrus;0.007051282051282051;0.00474236632372403;0.17344036771098303;0.0032440811716734777;161
Lil Durk;0.007051282051282051;0.007405079794993126;0.1912086010436264;0.007515031839968151;5
Anne-Marie;0.007051282051282051;0.007287487942958893;0.17257352705603435;0.003489612268048396;2
Sfera Ebbasta;0.007051282051282051;0.031650023259739986;0.1632580923804328;0.002680720614529122;141
Tiago PZK;0.007051282051282051;0.0016943458544490507;0.1660717589024202;0.025078464472664735;87
Machine Gun Kelly;0.007051282051282051;0.00487207986021831;0.17296975097538653;0.0031038360835371395;6
Jax Jones;0.007051282051282051;0.009944318469960748;0.16214010505245097;0.0014653258071598884;154
Peso Pluma;0.007051282051282051;0.013400499817479598;0.15769706506623726;0.0080190103577081;0
Chris Jedi;0.007051282051282051;0.0008057642943148475;0.19231795704875307;0.08020152267398628;6
Naps;0.00641025641025641;0.0027502768594814776;0.12867982560917343;8.047974688242429e-05;126
John Legend;0.00641025641025641;0.0024005354919109717;0.1691911141125106;0.003413677481595355;164
Tiësto;0.00641025641025641;0.00500415415899917;0.17779405211823146;0.009333857270004313;164
Elton John;0.00641025641025641;0.0035092748819707986;0.16650554087262948;0.0026543258161285262;154
Rihanna;0.00641025641025641;0.001633769796235345;0.17235816907717907;0.0027231856519761176;5
Eladio Carrion;0.00641025641025641;0.008237643586659437;0.19632742879011533;0.04485134220811106;6
Cazzu;0.00641025641025641;0.00019387623084492043;0.1742060283630601;0.06587307594372577;80
Ariana Grande;0.00641025641025641;0.007336444075019965;0.18193152072954488;0.003778849982908173;164
Ñengo Flow;0.00641025641025641;0.0016326708681268095;0.182895183606947;0.04909566023608318;6
YoungBoy Never Broke Again;0.00641025641025641;0.0016660066153460083;0.17457300967412617;0.002841261307136181;130
Maria Becerra;0.0057692307692307696;0.002353741351441616;0.18237193594257853;0.02153959629980165;87
Jul;0.0057692307692307696;0.001169604433831117;0.1288999964104957;8.026016426177239e-05;126
Juhn;0.0057692307692307696;9.711125670342445e-05;0.16354807123013163;0.045537611294526596;80
Charli XCX;0.0057692307692307696;0.004606769296384735;0.1657064740897974;0.001075468584288174;154
Mora;0.0057692307692307696;0.003054781578764242;0.16936400509361882;0.04036470401259657;80
Camila Cabello;0.0057692307692307696;0.006459768670757883;0.19503367308144903;0.02463641163548544;5
Zé Felipe;0.0057692307692307696;0.004508254289364085;0.13197930831710095;0.00040394466312867474;85
Gucci Mane;0.0057692307692307696;0.003014609922162893;0.1689152215497507;0.0023074727343868028;15
Juan Magán;0.0057692307692307696;0.0029660033032671168;0.19254137474978553;0.018255871770956823;5
Nimo;0.0057692307692307696;0.0063410541846223465;0.1409590197181624;0.00010980590699498374;22
TINI;0.0057692307692307696;0.004699907271716536;0.17257352705603435;0.01801050394599025;87
Major Lazer;0.0057692307692307696;0.006260184429090722;0.17756547609236703;0.007615142736604497;161
RAF Camora;0.0057692307692307696;0.004247562739004829;0.14677613831439548;0.00021105745470509962;22
Tedua;0.0057692307692307696;0.005625935428693607;0.11395738131505458;1.8974297880352144e-05;141
Romeo Santos;0.0057692307692307696;3.226372223927341e-05;0.17952731302493;0.08232266127329345;6
Swae Lee;0.005128205128205128;0.0061377745697540655;0.18427798019192282;0.005601937207895491;164
Solda;0.005128205128205128;0.0;0.12861990950226246;8.003164092882659e-05;126
Katy Perry;0.005128205128205128;0.0077222524597056605;0.18954667816172846;0.012811055319250775;5
G-Eazy;0.005128205128205128;0.0033279567245705797;0.1718221183750937;0.003666648682988056;6
Hugh Jackman;0.005128205128205128;0.0037304759241898436;0.11150404694874554;6.977899676192525e-06;161
Jason Derulo;0.005128205128205128;0.004941707212094683;0.1695372497796802;0.007428916133852388;17
Elams;0.005128205128205128;0.0;0.12861990950226246;8.003164092882659e-05;126
Kofs;0.005128205128205128;0.0;0.12861990950226246;8.003164092882659e-05;126
13 Organisé;0.005128205128205128;0.0;0.12861990950226246;8.003164092882659e-05;126
Arcángel;0.005128205128205128;0.00022241147972541794;0.17250168129123167;0.0564983864606103;80
Houari;0.005128205128205128;0.0;0.12861990950226246;8.003164092882659e-05;126
Mau y Ricky;0.005128205128205128;0.0003670180183505901;0.1716441750047798;0.03143978669616495;155
Soso Maness;0.005128205128205128;0.0;0.12861990950226246;8.003164092882659e-05;126
Mike Will Made It;0.005128205128205128;0.0036410524355949135;0.18078055779299232;0.002605535367221331;5
A Castela;0.005128205128205128;0.003051357629612921;0.11225928974845258;3.387887000387761e-05;85
Zedd;0.005128205128205128;0.006844427557053865;0.1564466824472488;0.0009030600886454615;149
Rich Music LTD;0.005128205128205128;0.0;0.16252168600178013;0.05503043875108225;80
Maxwell;0.005128205128205128;7.61165626195735e-05;0.12271554522776201;2.2936784350651687e-05;22
Camilo;0.005128205128205128;0.0015939552945920701;0.168571618576704;0.025952190777540424;155
Jhay Cortez;0.005128205128205128;0.0004291444732243735;0.19019923730160132;0.06983526093288114;6
Sean Paul;0.005128205128205128;0.002776051223784594;0.19263088724385793;0.038498655270629636;154
Halsey;0.005128205128205128;0.0034874397389716713;0.17203613803676082;0.0018513438743677755;8
Jack Harlow;0.005128205128205128;0.0012365552335973232;0.1760939389976789;0.003957385056784549;130
NLE Choppa;0.005128205128205128;0.0016424134829218769;0.160631532646458;0.000528188216825918;164
Pusha T;0.005128205128205128;0.001279005564088777;0.17775591525591525;0.0027604132995821353;2
Mc Danny;0.005128205128205128;0.012404824277016677;0.1597028477400418;0.0035270012270256198;85
Loreda;0.005128205128205128;0.006265747799176983;0.12315322884872594;1.8447601706522404e-05;22
Wisin & Yandel;0.005128205128205128;4.267000737547187e-05;0.1711832424959878;0.052861544450731636;6
Juanka;0.005128205128205128;3.7421951978741686e-05;0.1728254592123205;0.06256115603816473;6
Rvssian;0.005128205128205128;0.02758122890794202;0.19726209876769266;0.04895399960703826;80
J. Cole;0.005128205128205128;0.010730934200113633;0.16494786562959335;0.0010447455648144024;5
Casper Magico;0.005128205128205128;3.1128471983344e-05;0.17097133833775055;0.06436001020966682;6
